Round: 1
amber dreams: a roger zelazny bibliography,2.96666666666667,11
guide to supernatural fiction  the,2.2,5
philip k. dick,5.45,12
over my shoulder,3.75,8
art of return of the jedi,3.5,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,12.6666666666667,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,6.83333333333333,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,6.91666666666667,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 9
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,18.95,45
nesfa index  1982  the,4.41666666666667,8
high kings  the,25.8666666666667,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.9,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,3.95,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,6.76666666666667,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.2,11
worlds beyond: the art of chesley bonestell,2.08333333333333,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.3333333333333,29
amber dreams: a roger zelazny bibliography,3.18333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,5.61666666666667,12
over my shoulder,3.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,12.7166666666667,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,6.83333333333333,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,6.91666666666667,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 10
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,19.2166666666667,45
nesfa index  1982  the,4.5,8
high kings  the,26.05,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,3.95,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,6.85,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.2,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.4166666666667,29
amber dreams: a roger zelazny bibliography,3.23333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,5.83333333333333,12
over my shoulder,3.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,12.7666666666667,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,6.83333333333333,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,6.91666666666667,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 11
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,19.4666666666667,45
nesfa index  1982  the,4.5,8
high kings  the,26.2166666666667,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,3.95,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,6.85,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.28333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.5,29
amber dreams: a roger zelazny bibliography,3.23333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,5.91666666666667,12
over my shoulder,4.33333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,12.85,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,6.83333333333333,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,6.91666666666667,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 12
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,19.4666666666667,45
nesfa index  1982  the,4.5,8
high kings  the,26.2166666666667,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,3.95,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,6.85,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.28333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.5,29
amber dreams: a roger zelazny bibliography,3.23333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,5.91666666666667,12
over my shoulder,4.33333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,12.85,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.08333333333333,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 13
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,19.8,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,26.2166666666667,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,3.95,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,6.93333333333333,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.36666666666667,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.8333333333333,29
amber dreams: a roger zelazny bibliography,3.31666666666667,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.08333333333333,12
over my shoulder,4.66666666666667,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,13.1,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.25,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 14
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,20.1833333333333,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,26.4666666666667,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,6.93333333333333,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.36666666666667,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.8833333333333,29
amber dreams: a roger zelazny bibliography,3.7,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.41666666666667,12
over my shoulder,4.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,13.2333333333333,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.33333333333333,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 15
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,20.1833333333333,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,26.55,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,7.18333333333333,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.36666666666667,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,14.9666666666667,29
amber dreams: a roger zelazny bibliography,3.86666666666667,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.41666666666667,12
over my shoulder,4.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,13.2333333333333,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.33333333333333,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 16
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,20.35,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,27.0166666666667,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,7.73333333333333,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.58333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,15.7666666666667,29
